week,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,B.1.617.1_count,B.1.617.1_proportion,B.1.617.2_count,B.1.617.2_proportion,P.1_count,P.1_proportion
01,4,2,0,0.0,0,0.0,0,0.0,0,0.0
02,51,8.9,2,0.3,0,0.0,0,0.0,0,0.0
03,89,5.2,12,0.7,0,0.0,0,0.0,0,0.0
04,278,10.4,13,0.5,0,0.0,0,0.0,0,0.0
05,551,17.8,24,0.8,0,0.0,0,0.0,0,0.0
06,698,20.8,19,0.6,0,0.0,0,0.0,6,0.2
07,1198,32.8,21,0.6,0,0.0,0,0.0,6,0.2
08,1888,44.1,33,0.8,0,0.0,0,0.0,2,0.0
09,1955,52.7,68,1.8,1,0.0,0,0.0,8,0.2
10,2505,64.7,72,1.9,1,0.0,0,0.0,4,0.1
11,3054,74.3,48,1.2,2,0.0,0,0.0,8,0.2
12,2915,80.3,56,1.5,2,0.1,1,0.0,0,0.0
13,3269,87.1,49,1.3,0,0.0,0,0.0,8,0.2
14,3475,88.7,74,1.9,2,0.1,2,0.1,9,0.2
15,3664,88.8,83,2.0,5,0.1,5,0.1,11,0.3
16,4088,91.3,42,0.9,11,0.2,24,0.5,16,0.4
17,2825,90.8,21,0.7,7,0.2,32,1.0,31,1.0
18,2036,86.8,70,3,10,0.4,37,1.6,8,0.3
