week,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,B.1.617.2_count,B.1.617.2_proportion,P.1_count,P.1_proportion
01,5,2.2,0,0,0,0,0,0
02,52,8.5,7,1.1,0,0,0,0
03,97,5.5,12,0.7,0,0,0,0
04,284,10.5,13,0.5,0,0,0,0
05,553,17.8,24,0.8,0,0,0,0
06,711,21,19,0.6,0,0,1,0
07,1201,32.6,19,0.5,0,0,1,0
08,1890,44.1,35,0.8,0,0,1,0
09,1959,52.6,68,1.8,0,0,2,0.1
10,2498,64.5,72,1.9,0,0,0,0
11,3049,74.1,49,1.2,0,0,4,0.1
12,2921,79.9,53,1.4,1,0,0,0
13,3286,86.9,48,1.3,0,0,7,0.2
14,3500,88.2,71,1.8,2,0.1,2,0.1
15,3969,88.9,82,1.8,5,0.1,10,0.2
16,4412,90.8,42,0.9,31,0.6,9,0.2
17,3511,90,28,0.7,55,1.4,21,0.5
18,4257,87.1,118,2.4,86,1.8,18,0.4
19,3261,88.5,39,1.1,93,2.5,6,0.2
20,3119,90.2,25,0.7,108,3.1,23,0.7
21,1286,93.6,6,0.4,34,2.5,2,0.1
