week,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,P.1_count,P.1_proportion,B.1.617.2_count,B.1.617.2_proportion
01,5,2.2,0,0.0,0,0,0,0
02,52,8.5,7,1.1,0,0,0,0
03,96,5.4,12,0.7,0,0,0,0
04,285,10.6,13,0.5,0,0,0,0
05,557,17.9,24,0.8,0,0,0,0
06,712,21,19,0.6,1,0,0,0
07,1201,32.6,19,0.5,1,0,0,0
08,1887,44,35,0.8,0,0,0,0
09,1926,51.7,68,1.8,1,0,0,0
10,2495,64.5,72,1.9,0,0,0,0
11,3051,74.1,50,1.2,3,0.1,0,0
12,2923,79.9,53,1.4,0,0,1,0
13,3286,86.9,48,1.3,6,0.2,0,0
14,3498,88,71,1.8,2,0.1,2,0.1
15,3977,88.8,83,1.9,6,0.1,6,0.1
16,4420,90.7,44,0.9,4,0.1,32,0.7
17,3518,90,30,0.8,4,0.1,55,1.4
18,4271,87,124,2.5,10,0.2,86,1.8
19,3303,88.5,45,1.2,3,0.1,92,2.5
20,3241,90.1,26,0.7,11,0.3,114,3.2
21,2148,89.9,15,0.6,6,0.3,89,3.7
22,1052,86.4,2,0.2,7,0.6,75,6.2
