week,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,B.1.617.2_count,B.1.617.2_proportion,P.1_count,P.1_proportion,total_count,total_proportion
1,5,2.1,0,0.0,0,0.0,0,0.0,5,2.1
2,54,8.8,8,1.3,0,0.0,0,0.0,62,10.1
3,96,5.4,12,0.7,0,0.0,0,0.0,108,6.1
4,283,10.5,13,0.5,0,0.0,0,0.0,296,11.0
5,555,17.8,24,0.8,1,0.0,0,0.0,580,18.6
6,710,21.0,19,0.6,0,0.0,6,0.2,735,21.7
7,1218,33.1,21,0.6,0,0.0,6,0.2,1245,33.8
8,1892,44.1,35,0.8,0,0.0,2,0.0,1929,45.0
9,1963,52.7,69,1.9,0,0.0,8,0.2,2040,54.8
10,2499,64.6,72,1.9,0,0.0,4,0.1,2575,66.5
11,3053,74.1,49,1.2,0,0.0,8,0.2,3110,75.5
12,2936,80.3,57,1.6,1,0.0,0,0.0,2994,81.8
13,3289,87.0,50,1.3,0,0.0,8,0.2,3347,88.5
14,3537,88.8,77,1.9,2,0.1,10,0.3,3626,91.0
15,4001,89.1,90,2.0,6,0.1,11,0.2,4108,91.5
16,4442,91.2,46,0.9,34,0.7,17,0.3,4539,93.2
17,3542,90.5,30,0.8,54,1.4,41,1.0,3667,93.7
18,4287,87.2,127,2.6,89,1.8,44,0.9,4547,92.5
19,3520,89.0,51,1.3,101,2.6,16,0.4,3688,93.3
20,3640,91.0,29,0.7,119,3.0,29,0.7,3817,95.5
21,2633,90.9,19,0.7,102,3.5,24,0.8,2778,95.9
22,1972,84.5,11,0.5,180,7.7,23,1.0,2186,93.7
23,1194,73.9,7,0.4,287,17.8,24,1.5,1512,93.6
24,523,52.5,10,1.0,390,39.1,14,1.4,937,94.0
25,243,32.7,3,0.4,443,59.6,7,0.9,696,93.7
26,153,19.6,0,0.0,592,76.0,14,1.8,759,97.4
27,58,12.2,0,0.0,399,83.8,11,2.3,468,98.3
