week,B.1.1.7_proportion,B.1.351_proportion,B.1.617.2_proportion,P.1_proportion
1,2.1,0.0,0.0,0.0
2,8.8,1.3,0.0,0.0
3,5.4,0.7,0.0,0.0
4,10.5,0.5,0.0,0.0
5,17.8,0.8,0.0,0.0
6,21.0,0.6,0.0,0.2
7,33.1,0.6,0.0,0.2
8,44.1,0.8,0.0,0.0
9,52.7,1.9,0.0,0.2
10,64.6,1.9,0.0,0.1
11,74.1,1.2,0.0,0.2
12,80.3,1.6,0.0,0.0
13,87.0,1.3,0.0,0.2
14,88.8,1.9,0.1,0.3
15,89.1,2.0,0.1,0.2
16,91.2,0.9,0.7,0.3
17,90.5,0.8,1.4,1.0
18,87.2,2.6,1.8,0.9
19,89.0,1.3,2.6,0.4
20,90.9,0.7,3.1,0.7
21,90.9,0.6,3.5,0.8
22,83.9,0.5,7.8,1.0
23,72.7,0.4,18.2,1.5
24,51.3,1.1,39.2,1.3
25,31.6,0.4,60.0,1.1
26,18.1,0.1,76.8,1.7
27,11.2,0.1,84.5,2.0
28,5.5,0.0,92.4,1.2
29,2.3,0.0,96.8,0.1
30,1.8,0.0,97.4,0.1
31,1.1,0.0,98.6,0.1
32,0.4,0.0,99.1,0.1
33,0.4,0.0,99.4,0.0
34,0.2,0.0,99.7,0.0
