week,total_count,total_proportion,est_seq_total
1,5,2.1,238
2,60,9.8,612
3,106,6,1767
4,292,10.8,2704
5,563,18,3128
6,725,21.4,3388
7,1184,32.1,3688
8,1890,44,4295
9,2024,54,3748
10,2548,65.7,3878
11,3101,75.2,4124
12,2996,81.3,3685
13,3346,88.3,3789
14,3616,90.4,4000
15,4105,90.9,4516
16,4547,92.9,4895
17,3684,93.1,3957
18,4560,92.1,4951
19,3725,93.1,4001
20,3851,95.4,4037
21,2819,95.8,2943
22,2197,93.1,2360
23,1572,92.6,1698
24,1000,92.9,1076
25,766,93,824
26,885,96.7,915
27,906,97.7,927
28,1135,99.1,1145
29,1961,99.1,1979
30,1632,99.4,1642
31,1973,99.7,1979
32,2395,99.7,2402
33,3093,99.8,3099
34,3628,99.9,3632
35,1918,99.9,1920
