seq_available,week,week_start,week_end,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,B.1.617.1_count,B.1.617.1_proportion,B.1.617.2_count,B.1.617.2_proportion,P.1_count,P.1_proportion
2021-05-12,1,2021-01-04,2021-01-10,4,2.0,0,0.0,0.0,0.0,0,0.0,0,0.0
2021-05-12,2,2021-01-11,2021-01-17,47,8.3,2,0.4,0.0,0.0,0,0.0,0,0.0
2021-05-12,3,2021-01-18,2021-01-24,79,4.7,11,0.7,0.0,0.0,0,0.0,0,0.0
2021-05-12,4,2021-01-25,2021-01-31,273,10.2,12,0.4,0.0,0.0,0,0.0,0,0.0
2021-05-12,5,2021-02-01,2021-02-07,549,17.8,22,0.7,0.0,0.0,0,0.0,0,0.0
2021-05-12,6,2021-02-08,2021-02-14,698,20.8,19,0.6,0.0,0.0,0,0.0,6,0.2
2021-05-12,7,2021-02-15,2021-02-21,1197,32.8,20,0.5,0.0,0.0,0,0.0,6,0.2
2021-05-12,8,2021-02-22,2021-02-28,1886,44.1,33,0.8,0.0,0.0,0,0.0,2,0.0
2021-05-12,9,2021-03-01,2021-03-07,1953,52.7,68,1.8,5.0,0.1,0,0.0,8,0.2
2021-05-12,10,2021-03-08,2021-03-14,2497,64.7,71,1.8,1.0,0.0,0,0.0,4,0.1
2021-05-12,11,2021-03-15,2021-03-21,3054,74.3,48,1.2,2.0,0.0,0,0.0,8,0.2
2021-05-12,12,2021-03-22,2021-03-28,2915,80.3,56,1.5,2.0,0.1,1,0.0,0,0.0
2021-05-12,13,2021-03-29,2021-04-04,3263,87.0,49,1.3,0.0,0.0,0,0.0,8,0.2
2021-05-12,14,2021-04-05,2021-04-11,3329,88.5,74,2.0,3.0,0.1,1,0.0,10,0.3
2021-05-12,15,2021-04-12,2021-04-18,3652,88.9,83,2.0,8.0,0.2,3,0.1,11,0.3
2021-05-12,16,2021-04-19,2021-04-25,3869,91.1,41,1.0,18.0,0.4,15,0.4,14,0.3
2021-05-12,17,2021-04-26,2021-05-02,1860,91.7,12,0.6,12.0,0.6,19,0.9,10,0.5
2021-05-19,1,2021-01-04,2021-01-10,4,2.0,0,0.0,0.0,0.0,0,0.0,0,0.0
2021-05-19,2,2021-01-11,2021-01-17,51,8.9,2,0.3,0.0,0.0,0,0.0,0,0.0
2021-05-19,3,2021-01-18,2021-01-24,89,5.2,12,0.7,0.0,0.0,0,0.0,0,0.0
2021-05-19,4,2021-01-25,2021-01-31,278,10.4,13,0.5,0.0,0.0,0,0.0,0,0.0
2021-05-19,5,2021-02-01,2021-02-07,551,17.8,24,0.8,0.0,0.0,0,0.0,0,0.0
2021-05-19,6,2021-02-08,2021-02-14,698,20.8,19,0.6,0.0,0.0,0,0.0,6,0.2
2021-05-19,7,2021-02-15,2021-02-21,1198,32.8,21,0.6,0.0,0.0,0,0.0,6,0.2
2021-05-19,8,2021-02-22,2021-02-28,1888,44.1,33,0.8,0.0,0.0,0,0.0,2,0.0
2021-05-19,9,2021-03-01,2021-03-07,1955,52.7,68,1.8,1.0,0.0,0,0.0,8,0.2
2021-05-19,10,2021-03-08,2021-03-14,2505,64.7,72,1.9,1.0,0.0,0,0.0,4,0.1
2021-05-19,11,2021-03-15,2021-03-21,3054,74.3,48,1.2,2.0,0.0,0,0.0,8,0.2
2021-05-19,12,2021-03-22,2021-03-28,2915,80.3,56,1.5,2.0,0.1,1,0.0,0,0.0
2021-05-19,13,2021-03-29,2021-04-04,3269,87.1,49,1.3,0.0,0.0,0,0.0,8,0.2
2021-05-19,14,2021-04-05,2021-04-11,3475,88.7,74,1.9,2.0,0.1,2,0.1,9,0.2
2021-05-19,15,2021-04-12,2021-04-18,3664,88.8,83,2.0,5.0,0.1,5,0.1,11,0.3
2021-05-19,16,2021-04-19,2021-04-25,4088,91.3,42,0.9,11.0,0.2,24,0.5,16,0.4
2021-05-19,17,2021-04-26,2021-05-02,2825,90.8,21,0.7,7.0,0.2,32,1.0,31,1.0
2021-05-19,18,2021-05-03,2021-05-09,2036,86.8,70,3.0,10.0,0.4,37,1.6,8,0.3
2021-05-26,1,2021-01-04,2021-01-10,5,2.2,0,0.0,0.0,0.0,0,0.0,0,0.0
2021-05-26,2,2021-01-11,2021-01-17,51,8.6,2,0.3,0.0,0.0,0,0.0,0,0.0
2021-05-26,3,2021-01-18,2021-01-24,91,5.3,12,0.7,0.0,0.0,0,0.0,0,0.0
2021-05-26,4,2021-01-25,2021-01-31,282,10.5,13,0.5,0.0,0.0,0,0.0,0,0.0
2021-05-26,5,2021-02-01,2021-02-07,553,17.8,24,0.8,0.0,0.0,0,0.0,0,0.0
2021-05-26,6,2021-02-08,2021-02-14,708,21.0,19,0.6,0.0,0.0,0,0.0,6,0.2
2021-05-26,7,2021-02-15,2021-02-21,1213,33.0,21,0.6,0.0,0.0,0,0.0,6,0.2
2021-05-26,8,2021-02-22,2021-02-28,1888,44.1,33,0.8,0.0,0.0,0,0.0,2,0.0
2021-05-26,9,2021-03-01,2021-03-07,1965,52.8,69,1.9,1.0,0.0,0,0.0,8,0.2
2021-05-26,10,2021-03-08,2021-03-14,2505,64.7,72,1.9,1.0,0.0,0,0.0,4,0.1
2021-05-26,11,2021-03-15,2021-03-21,3058,74.3,48,1.2,2.0,0.0,0,0.0,8,0.2
2021-05-26,12,2021-03-22,2021-03-28,2936,80.3,56,1.5,2.0,0.1,1,0.0,0,0.0
