seq_available,week,week_start,week_end,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,B.1.617.1_count,B.1.617.1_proportion,B.1.617.2_count,B.1.617.2_proportion,P.1_count,P.1_proportion
2021-05-12,1,2021-01-04,2021-01-10,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-19,1,2021-01-04,2021-01-10,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-26,1,2021-01-04,2021-01-10,5.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-02,1,2021-01-04,2021-01-10,5.0,2.2,0.0,0.0,,,0.0,0.0,0.0,0.0
2021-06-09,1,2021-01-04,2021-01-10,5.0,2.2,0.0,0.0,,,0.0,0.0,0.0,0.0
2021-06-16,1,2021-01-04,2021-01-10,5.0,2.2,0.0,0.0,,,0.0,0.0,0.0,0.0
2021-06-23,1,2021-01-04,2021-01-10,5.0,2.2,0.0,0.0,,,0.0,0.0,0.0,0.0
2021-06-30,1,2021-01-04,2021-01-10,5.0,2.1,0.0,0.0,,,0.0,0.0,0.0,0.0
2021-07-07,1,2021-01-04,2021-01-10,5.0,2.1,0.0,0.0,,,0.0,0.0,0.0,0.0
2021-07-14,1,2021-01-04,2021-01-10,5.0,2.1,0.0,0.0,,,0.0,0.0,0.0,0.0
2021-07-22,1,2021-01-04,2021-01-10,5.0,2.1,0.0,0.0,,,0.0,0.0,0.0,0.0
2021-07-29,1,2021-01-04,2021-01-10,5.0,2.1,0.0,0.0,,,0.0,0.0,0.0,0.0
2021-05-12,2,2021-01-11,2021-01-17,47.0,8.3,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-19,2,2021-01-11,2021-01-17,51.0,8.9,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-26,2,2021-01-11,2021-01-17,51.0,8.6,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-02,2,2021-01-11,2021-01-17,52.0,8.5,6.0,1.0,,,0.0,0.0,0.0,0.0
2021-06-09,2,2021-01-11,2021-01-17,52.0,8.5,7.0,1.1,,,0.0,0.0,0.0,0.0
2021-06-16,2,2021-01-11,2021-01-17,52.0,8.5,7.0,1.1,,,0.0,0.0,0.0,0.0
2021-06-23,2,2021-01-11,2021-01-17,52.0,8.5,7.0,1.1,,,0.0,0.0,0.0,0.0
2021-06-30,2,2021-01-11,2021-01-17,54.0,8.8,8.0,1.3,,,0.0,0.0,0.0,0.0
2021-07-07,2,2021-01-11,2021-01-17,54.0,8.8,8.0,1.3,,,0.0,0.0,0.0,0.0
2021-07-14,2,2021-01-11,2021-01-17,54.0,8.8,8.0,1.3,,,0.0,0.0,0.0,0.0
2021-07-22,2,2021-01-11,2021-01-17,54.0,8.8,8.0,1.3,,,0.0,0.0,0.0,0.0
2021-07-29,2,2021-01-11,2021-01-17,54.0,8.8,8.0,1.3,,,0.0,0.0,0.0,0.0
2021-05-12,3,2021-01-18,2021-01-24,79.0,4.7,11.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
